Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 16:52:54.239824
Person,1,0,2021-12-15 16:52:59.244398
Person,0,2,2021-12-15 16:52:59.510224
Person,1,0,2021-12-15 16:52:59.775598
Person,1,0,2021-12-15 16:53:05.850093
Person,1,0,2021-12-15 16:53:07.680701
Person,1,0,2021-12-15 16:53:13.157182
Person,1,0,2021-12-15 16:53:26.039956
Person,1,0,2021-12-15 16:53:39.388456
Person,1,0,2021-12-15 16:53:44.650511
Person,0,1,2021-12-15 16:53:44.917117
Person,1,0,2021-12-15 16:53:45.193818
Person,1,0,2021-12-15 16:53:55.688176
Person,0,1,2021-12-15 16:53:55.950623
Person,0,1,2021-12-15 16:53:58.019857
Person,1,0,2021-12-15 16:54:03.473113
Person,0,1,2021-12-15 16:54:05.042974
Person,0,1,2021-12-15 16:54:23.553295
Person,0,1,2021-12-15 16:54:25.922574
Person,0,1,2021-12-15 16:54:28.520714
Person,0,1,2021-12-15 16:54:30.616563
Person,1,0,2021-12-15 16:54:30.878351
Person,0,1,2021-12-15 16:54:37.193921
Person,1,0,2021-12-15 16:54:37.714466
Person,1,0,2021-12-15 16:54:40.054647
Person,0,1,2021-12-15 16:54:42.158943
Person,0,1,2021-12-15 16:55:04.968186
Person,0,1,2021-12-15 16:55:35.680139
Person,1,0,2021-12-15 16:55:37.037034
Person,1,0,2021-12-15 16:55:51.410632
Person,0,1,2021-12-15 16:55:56.255703
Person,1,0,2021-12-15 16:55:56.812478
Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-18 08:36:42.849606
Person,0,1,2021-12-18 08:36:47.302193
Person,0,2,2021-12-18 08:36:52.275353
Person,1,0,2021-12-18 08:36:55.190404
Person,1,0,2021-12-18 08:37:03.808186
Person,1,0,2021-12-18 08:37:19.649264
Person,1,0,2021-12-18 08:37:29.445237
Person,0,1,2021-12-18 08:37:30.504768
Person,1,0,2021-12-18 08:37:40.525795
Person,0,1,2021-12-18 08:37:46.352853
Person,1,0,2021-12-18 08:37:52.159813
Person,0,1,2021-12-18 08:37:52.438888
Person,0,1,2021-12-18 08:38:08.058631
Person,0,1,2021-12-18 08:38:10.188334
Person,0,1,2021-12-18 08:38:21.813463
Person,1,0,2021-12-18 08:38:31.846730
Person,1,0,2021-12-18 08:38:43.063036
Person,0,1,2021-12-18 08:38:44.631374
Person,1,0,2021-12-18 08:38:50.347952
Person,1,0,2021-12-18 08:38:52.441869
Person,0,1,2021-12-18 08:38:52.701827
Person,0,1,2021-12-18 08:38:53.510048
Person,1,0,2021-12-18 08:38:58.501990
Person,0,1,2021-12-18 08:39:00.844478
Person,1,0,2021-12-18 08:39:53.302819
Person,1,0,2021-12-18 08:40:18.982231
Person,0,1,2021-12-18 08:40:20.031299
Person,1,0,2021-12-18 08:40:26.038094
Person,1,0,2021-12-18 08:40:31.728269
Person,1,0,2021-12-18 08:40:40.659141
Person,0,1,2021-12-18 08:40:42.741278
Person,0,1,2021-12-18 08:40:45.355148
Person,1,0,2021-12-18 08:41:03.611973
Person,0,1,2021-12-18 08:41:03.872889
Person,1,0,2021-12-18 08:41:04.927951
Person,0,1,2021-12-18 08:41:15.367628
Person,1,0,2021-12-18 08:41:20.896001
Person,0,1,2021-12-18 08:41:21.429710
Person,0,1,2021-12-18 08:41:25.904540
Person,1,0,2021-12-18 08:42:24.748485
Person,0,1,2021-12-18 08:42:28.957099
Person,1,0,2021-12-18 08:42:29.218406
Person,1,0,2021-12-18 08:42:30.276454
Person,0,1,2021-12-18 08:42:31.324614
Person,0,1,2021-12-18 08:42:36.059881
Person,2,0,2021-12-18 08:43:04.744310
Person,0,1,2021-12-18 08:43:06.322792
Person,1,0,2021-12-18 08:43:15.505277
Person,0,1,2021-12-18 08:43:16.546822
Person,2,0,2021-12-18 08:43:16.807455
Person,0,1,2021-12-18 08:43:17.071394
Person,0,1,2021-12-18 08:43:18.133781
Person,1,0,2021-12-18 08:43:24.658409
Person,1,0,2021-12-18 08:43:30.436264
Person,0,1,2021-12-18 08:43:37.481682
Person,1,0,2021-12-18 08:43:43.485054
Person,1,0,2021-12-18 08:43:53.138344
Person,0,1,2021-12-18 08:43:57.802944
Person,1,0,2021-12-18 08:44:19.028125
Person,0,1,2021-12-18 08:44:25.062077
Person,1,0,2021-12-18 08:44:25.321394
Person,0,1,2021-12-18 08:44:26.374856
Person,1,0,2021-12-18 08:44:27.701136
Person,0,1,2021-12-18 08:44:32.997787
Person,0,1,2021-12-18 08:44:34.048796
Person,1,0,2021-12-18 08:44:37.980726
Person,1,0,2021-12-18 08:44:38.759829
Person,0,1,2021-12-18 08:44:39.022356
Person,0,1,2021-12-18 08:44:45.812412
Car,1,0,2021-12-18 08:44:46.331401
Person,0,1,2021-12-18 08:44:47.383368
Person,1,0,2021-12-18 08:44:49.755426
Person,1,0,2021-12-18 08:44:51.863737
Person,1,0,2021-12-18 08:44:59.185898
Person,1,0,2021-12-18 08:45:01.780262
Person,0,1,2021-12-18 08:45:02.053085
Bicycle,1,0,2021-12-18 08:45:03.092725
Bicycle,0,1,2021-12-18 08:45:05.208635
Person,0,1,2021-12-18 08:45:05.468245
Bicycle,1,0,2021-12-18 08:45:05.725668
Person,1,0,2021-12-18 08:45:08.878822
Person,0,1,2021-12-18 08:45:11.503736
Person,0,1,2021-12-18 08:45:14.370004
Person,0,1,2021-12-18 08:45:16.983957
Person,1,0,2021-12-18 08:45:18.548659
Person,1,0,2021-12-18 08:45:19.073825
Person,1,0,2021-12-18 08:45:21.448044
Person,0,1,2021-12-18 08:45:44.206136
Person,0,1,2021-12-18 08:45:44.724386
Person,0,1,2021-12-18 08:45:48.390216
Person,1,0,2021-12-18 08:45:50.470468
Person,0,1,2021-12-18 08:45:54.122600
Person,1,0,2021-12-18 08:45:54.648145
Person,0,1,2021-12-18 08:45:57.513826
Person,1,0,2021-12-18 08:46:01.667079
Person,0,1,2021-12-18 08:46:03.247731
Person,1,0,2021-12-18 08:46:18.376707
Person,1,0,2021-12-18 08:46:18.913941
Person,0,1,2021-12-18 08:46:19.702261
Person,1,0,2021-12-18 08:46:22.604267
Person,0,1,2021-12-18 08:46:24.442659
Person,1,0,2021-12-18 08:46:29.113868
Person,0,1,2021-12-18 08:46:29.878154
Person,1,0,2021-12-18 08:46:32.208659
Person,0,1,2021-12-18 08:46:32.475339
Person,0,1,2021-12-18 08:46:52.419875
Person,1,0,2021-12-18 08:46:52.933161
Person,0,1,2021-12-18 08:46:58.320740
Person,0,1,2021-12-18 08:47:02.953757
Person,0,1,2021-12-18 08:47:06.532585
Person,1,0,2021-12-18 08:47:08.319180
Person,0,1,2021-12-18 08:47:08.575143
Person,0,1,2021-12-18 08:47:15.319237
Person,0,1,2021-12-18 08:47:16.368690
Person,0,1,2021-12-18 08:47:17.145010
Person,1,0,2021-12-18 08:47:17.909823
Person,0,1,2021-12-18 08:47:21.262221
Person,1,0,2021-12-18 08:47:22.555101
Person,1,0,2021-12-18 08:47:28.149400
Person,0,1,2021-12-18 08:47:28.402914
Person,1,0,2021-12-18 08:47:29.663455
Person,0,1,2021-12-18 08:47:41.538309
Person,1,0,2021-12-18 08:47:45.123384
Person,1,0,2021-12-18 08:47:45.886757
Person,0,1,2021-12-18 08:47:51.550252
Person,1,0,2021-12-18 08:47:53.609761
Person,0,1,2021-12-18 08:48:02.944811
Person,1,0,2021-12-18 08:48:03.196304
Person,0,1,2021-12-18 08:48:03.709446
Person,1,0,2021-12-18 08:48:04.475239
Person,0,1,2021-12-18 08:48:04.730491
